Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q2,UID
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.1: Programme Support Transport Infrastructure,Annually,3.1.3 Number of kilometres of gravel roads visually assessed as per applicable TMH Manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10531,10511.16,10531,10511.16,10511.16,"The difference between the planned and actual figures is due gravel roads that were upgraded to surfaced roads which decreased the 2024 gravel road totals.  These mentioned factors resulted in a decrease gravel road visual assessment total for 2024, hence the underperformance on the gravel road network. ",,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.4: Construction ,Quarterly,3.4.1 Number of kilometres of gravel roads upgraded to surfaced roads,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,6.7,0,0,3.4,6.7,3.4,3.4,,,,,,,"This indicator was brought forward previously, as one that has to be amended during the in-year changes, due the reporting frequency in the TID being quarterly, and the target in the tables only reflecting once in the year. But the department stated that the zeros (0) are in-fact targets, regardless of the PDO suggesting that one cannot plan for zero kilometres of gravel roads upgraded to surface roads. That being said, does the 0 performance reported here mean that the target is achieved against the zero target or does this mean that zero (0) kilometres of gravel roads are upgraded to surfaced roads? Which would in-turn mean that the target was not achieved?",Not applicable,Not applicable. ,"The is no target for this quarter, thus no performance reported.","The project was temporarily suspended due to environmental concerns, but with approval now obtained to proceed, completion is deferred to the next financial year.",,"The Q3 target of 6.7 not achieved and the PDO notes the reason for deviation and can confirm that the reason for deviation is in alignment of to the proposed solution provided to the Department by the PDO during the in-year changes process ""Proposed solution – The indicator should remain as approved and a comment should be added in the eQPRS during the quarter 3 performance reporting process to explain the underperformance by sharing the comment that was made in the In-Year Change Template.""","The District Municipality completed the upgrade construction work ahead of schedule, resulting in an overachievement for this quarter.",,"The notes the progress reported of 3.4 in Q4, but it must be noted that this will not be consider as part of the overall Q4 performance, as not target is set in Q4. This however will be taken into consideration in the pre-audit phase.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.4: Construction ,Quarterly,3.4.2 Number of work opportunities created,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",1245,0,1960,1586,2565,2188,3140,2978,3140,2978,2978,,,,,"Site information for the Portfolio of Evidence for EPWP for the first quarter was received late. The Quarter 1 work opportunity figures will be included during the pre-audited annual round up at the end of the reporting year. 
",,"The PDO notes that no performance was reported at this stage against the Q1 target of 1245. Should performance is reported against this target before the HOD signs off, the proper reason for deviation and corrective action, if applicable, needs to be stated.",These are preliminary figures. Site information for the Portfolio of Evidence for job opportunities for the second quarter is still being received. Actual figures may be updated at a later stage.,,"The Q2 target of 1960 is not achieved (1339). The PDO notes the reason for deviation. However due to the under-performance the corrective action is required. Based off the reason for deviation provided in the first quarter and now the second quarter, is this perhaps not a issue that can be corrected in target setting. Because it might be the case where the department will only achieve this target by the pre-audit/audit phase and under-perform throughout the year.","
In Quarter 3, the capturing of job opportunities for road projects was constrained due to limited capacity, as newly appointed staff were still acclimating to their roles. To address this, the Department appointed a capacity consultant to assist the team in capturing and managing job opportunities effectively. This is expected to improve in Quarter 4.",,The Q3 target of 2565 is exceeded (2186). The reason for deviation is noted and corrective action not required.,These are preliminary figures. Site information for the Portfolio of Evidence related to job opportunities for the fourth quarter is still being received. Actual figures may be updated at a later stage.,,"The Q4 target of 3140 is not achieved (2810). The PDO notes the reason for deviation. The corrective action is required, should after the collection is completed and the indicator target is still not met.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.4: Construction ,Quarterly,3.4.3 Number of youths employed (18 - 35),Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",665,0,1045,895,1365,1255,1670,1655,1670,1655,1655,,,,,"Site information for the Portfolio of Evidence for EPWP for the first quarter was received late. The Quarter 1 work opportunity figures will be included during the pre-audited annual round up at the end of the reporting year. 
",,"The PDO notes that no performance was reported at this stage against the Q1 target of 665. Should performance is reported against this target before the HOD signs off, the proper reason for deviation and corrective action, if applicable, needs to be stated.",These are preliminary figures. Site information for the Portfolio of Evidence for job opportunities for the second quarter is still being received. Actual figures may be updated at a later stage.,,"The Q2 target of 1045 is not achieved (749). The PDO notes the reason for deviation. However due to the under-performance the corrective action is required. Based off the reason for deviation provided in the first quarter and now the second quarter, is this perhaps not a issue that can be corrected in target setting. Because it might be the case where the department will only achieve this target by the pre-audit/audit phase and under-perform throughout the year.","
In Quarter 3, the capturing of job opportunities for road projects was constrained due to limited capacity, as newly appointed staff were still acclimating to their roles. To address this, the Department appointed a capacity consultant to assist the team in capturing and managing job opportunities effectively. This is expected to improve in Quarter 4.



",,"The Q3 target of 1365 is not achieved (1255). The PDO notes the reason for deviation, however due to the underperformance, requests that the department completed the corrective action section as well.",These are preliminary figures. Site information for the Portfolio of Evidence related to job opportunities for the fourth quarter is still being received. Actual figures may be updated at a later stage.,,"The Q4 target of 1670 is not achieved (1544). The PDO notes the reason for deviation. The corrective action is required, should after the collection is completed and the indicator target is still not met.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.4: Construction ,Quarterly,3.4.4 Number of women employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",330,0,520,637,680,873,830,1135,830,1135,1135,,,,,Site information for the Portfolio of Evidence for EPWP for the first quarter is still being received. Actual figures may be updated at a later stage.,,"The PDO notes that no performance was reported at this stage against the Q1 target of 330. Should performance is reported against this target before the HOD signs off, the proper reason for deviation and corrective action, if applicable, needs to be stated.",These are preliminary figures. Site information for the Portfolio of Evidence for job opportunities for the second quarter is still being received. Actual figures may be updated at a later stage.,,"The Q2 target of 520 is not achieved (517). The PDO notes the reason for deviation. However due to the under-performance the corrective action is required. Based off the reason for deviation provided in the first quarter and now the second quarter, is this perhaps not a issue that can be corrected in target setting. Because it might be the case where the department will only achieve this target by the pre-audit/audit phase and under-perform throughout the year.","
In Quarter 3, the capturing of job opportunities for road projects was constrained due to limited capacity, as newly appointed staff were still acclimating to their roles. To address this, the Department appointed a capacity consultant to assist the team in capturing and managing job opportunities effectively. This is expected to improve in Quarter 4.



",,The Q3 target of 680 is exceeded (872). The reason for deviation is noted and corrective action not required.,These are preliminary figures. Site information for the Portfolio of Evidence related to job opportunities for the fourth quarter is still being received. Actual figures may be updated at a later stage.,,The Q4 target of 830 is exceeded (1076). The PDO notes the reason for deviation and correction action not required.,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.4: Construction ,Quarterly,3.4.5  Number of persons with disabilities employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,2,5,3,6,4,7,4,7,7,,,,,Site information for the Portfolio of Evidence for EPWP for the first quarter is still being received. Actual figures may be updated at a later stage.,,"The PDO notes that no performance was reported at this stage against the Q1 target of 1. Should performance is reported against this target before the HOD signs off, the proper reason for deviation and corrective action, if applicable, needs to be stated.",These are preliminary figures. Site information for the Portfolio of Evidence for job opportunities for the second quarter is still being received. Actual figures may be updated at a later stage.,,"The Q2 target of 2 is exceeded (5). The PDO notes the reason for deviation, however, the same reason for indicator 3.4.3 & 3.4.4 does not apply here as this target was achieved. The corrective action is not required.","
In Quarter 3, the capturing of job opportunities for road projects was constrained due to limited capacity, as newly appointed staff were still acclimating to their roles. To address this, the Department appointed a capacity consultant to assist the team in capturing and managing job opportunities effectively. This is expected to improve in Quarter 4.



",,The Q3 target of 3 is exceeded (6). The reason for deviation is noted and corrective action not required.,These are preliminary figures. Site information for the Portfolio of Evidence related to job opportunities for the fourth quarter is still being received. Actual figures may be updated at a later stage.,,The Q4 target of 4 is exceeded (7). The PDO notes the reason for deviation and correction action not required.,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.1 Number of square metres of surfaced roads rehabilitated,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",147704,53998,244318,27600,81166,0,0,318832,473188,400430,400430,,,,,"Some planned construction projects that were envisaged to be completed in quarter 1, will only be completed later in the Financial Year.
",,,"The planned construction projects that were envisaged to be completed in quarter 2, will only be completed later in the Financial Year.





",,"The Q2 target of 244318 is exceeded (27600). The PDO notes the reason for deviation, however there seems to be a misalignment between the reason and the performance reported, as reason speaks to an under-performance, rather than an over-performance. Further, as this is an over-achievement, the corrective action is not required.","The planned construction projects that were envisaged to be completed in quarter 3, will only be completed later in the Financial Year.",,The Q3 target of 81166 is not achieved (0). The PDO notes the reason for deviation as accepts the reason for deviation as the corrective action as well.,Target not met. District Municipality function. Work completed within quarter is still being collected and actual figures to be updated.,,"The PDO notes progress report  in Q4. However, due to no target set in Q4, the department must be informed that this will not be considered as part of the overall achieved in this quarter.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.2 Number of square metres of surfaced roads resealed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",652976,127804,2224405,563448,914079,146055,400288,"1804016,5",4191748,"2641323,5",2641323.5,,,,,"The planned construction projects that were envisaged to be completed in quarter 1, will only be completed later in the Financial Year.",,,"The planned construction projects that were envisaged to be completed in quarter 2, will only be completed later in the Financial Year.





",,"The Q2 target of 2224405 is Not achieved (563448). The PDO notes the reason for deviation, however due to the under-performance a corrective action is required. ","The planned construction projects that were envisaged to be completed in quarter 3, will only be completed later in the Financial Year.






",,The Q3 target of 914079 is not achieved (146050). The PDO notes the reason for deviation as accepts the reason for deviation as the corrective action as well.,Target not met. District Municipality function. Work completed within quarter is still being collected and actual figures to be updated.,,The Q4 target of 400288 is exceeded (178 1672.5). The reason for deviation is noted and corrective action not required.,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.3 Number of kilometres of gravel roads re-graveled,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,20,0,20,18.81,20,26.39,60,0,45.2,,,,,,,,"This is District Municipality function. Flooding in Western Cape had a negative impact on transportation systems. The Department had to allocate resources to focus on emergency flood damage repairs.




",,"The Q2 target of 20 is Not achieved (0). The PDO notes the reason for deviation, however due to the under-performance a corrective action is required. ",Marginal underachievement. ,,"The Q3 target of 20kms is not achieved (18.81kms). The PDO notes the reason for deviation, however due to the underperformance the PDO requests that the department complete the corrective action section as well.",The target was exceeded as projects planned for earlier completion were delayed due to adverse weather conditions and only finalised in the last quarter of the financial year.,,The Q4 target of 20 is exceeded (26.39). The reason for deviation is noted and corrective action not required.,,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.4 Number of square metres of blacktop patching,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",7500,3824.14,7500,3110,7500,6197.61,7500,3118.6,30000,0,16250.35,,,,,"Blacktop patching is a reactive maintenance item and happens upon need. Work completed for the month of June is outstanding and actual figures to be updated.
",,,"District Municipality function.Work completed within quarter is still being collected and actual figures to be updated. Performance of indicator may be affected by severe flood damage, as work had to be reprioritized but impact will  be evaluated at end of financial year.




",,"The Q2 target of 7500 is Not achieved (3110). The PDO notes the reason for deviation, however due to the under-performance a corrective action is required. ",Blacktop patching is a reactive maintenance item and happens upon need. ,,"The Q3 target of 7500 is not achieved (6197.61). The PDO notes that the validated figures are not yet available. however should the validated performance still be below the target, the department should complete the corrective action section as well.",Target not met. Work completed within quarter is still being collected and actual figures to be updated.,,"The Q4 target of 7500 is not achieved (3118.6). The PDO notes the reason for deviation. The corrective action is required, should after the collection is completed and the indicator target is still not met.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.5 Number of kilometres of gravel roads bladed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",8000,5988.73,8000,5891,8000,8612.36,8000,7415.3,32000,0,27917.39,,,,,"Work completed for the month of June is outstanding and actual figures to be updated.
",,,"District Municipality function.Work completed within quarter is still being collected and actual figures to be updated. Performance of indicator may be affected by severe flood damage, as work had to be reprioritized but impact will  be evaluated at end of financial year.




",,"The Q2 target of 8000 is Not achieved (5891). The PDO notes the reason for deviation, however due to the under-performance a corrective action is required. ","Gravel road blading is a reactive maintenance item and happens upon need. 


 




",,The Q3 target of 8000 is exceeded (8612.36). The PDO notes that the validated figures are not yet available.,Target not met. District Municipality function. Work completed within quarter is still being collected and actual figures to be updated.,,"The Q4 target of 8000 is not achieved (7415.3). The PDO notes the reason for deviation. The corrective action is required, should after the collection is completed and the indicator target is still not met.",,50
Public Works,Public Works,Western Cape,Programme 3: Transport Infrastructure ,Sub Programme 3.5: Maintenance ,Quarterly,3.5.6 Number of contractors participating in the National Contractor Development Programme (NCDP),Standardized,Max,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",50,0,50,0,50,0,50,64,50,64,64,,,,,"Site information for the Portfolio of Evidence for CDP for the First quarter is still being received. Actual figures maybe be updated during the pre-audited annual performance period. 
.",,,"Awaiting POE from construction sites for this indicator. Actual figures may be updated at a later stage.



",,"The Q2 target of 50 is Not achieved (0). The PDO notes the reason for deviation, however due to the under-performance a corrective action is required. Furthermore, where indicator's POE is not available at the time of reporting, the Department should consider taking this into consideration when planning for targets and spacing them out according to the time it does become available or else this might become a problem in reporting going forward.","Site information for the Portfolio of Evidence for CDP is still being received. Actual figures may be updated at a later stage.















",,"The Q3 target of 50 is not achieved, however the PDO notes that at the time of review, the POE and data is not yet available.",,,"The Q4 target of 50 is not achieved (15). The PDO notes the reason for deviation. The corrective action is required, should after the collection is completed and the indicator target is still not met.",,50
Public Works,Public Works,Western Cape,Programme 5: Community Based Programmes / Expanded Public Works Programme,Sub Programme: 5.3: Innovation and Empowerment,Annually,5.3.1 Number of beneficiary empowerment interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 5: Community Based Programmes / Expanded Public Works Programme,Sub Programme: 5.3: Innovation and Empowerment,Annually,5.3.2 Number of beneficiaries participating in the Contractor Development Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,120,120,120,120,120,,,,,,,,,,,,,,,,,,50
Public Works,Public Works,Western Cape,Programme 5: Community Based Programmes / Expanded Public Works Programme,Sub Programme: 5.4 Coordination and Compliance Monitoring,Quarterly,5.4.1 Number of public bodies reporting on EPWP targets in the province,Standardized,Max,Priority 2: Economic Transformation And Job Creation,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",38,32,38,39,38,39,38,39,38,39,39,,,,,"Breede Valley: waiting for EPWPRS
admin to validate project Information  (approval of ID)
Laingsburg: need to change financial years on EPWPRS.
Prince Albert: No reporting yet, IB still 
gathering Raw Data due to New Fin year.

DOI, Mobility,  DOSD and Policy oversight & Com Safety
reporting will start in July 2024.",,,The reason for overperformance  is because  the Department of Mobility was added.  They started reporting from  end of July 2024.,,The Q2 target of 38 is exceeded (39). The reason for deviation is noted and no corrective action required.,All reporting bodies in the Western Cape are now reporting on EPWPR projects. ,,"The Q3 target of 38 achieved (38). The reason for deviation is noted, though not required. Additionally, the corrective action is not required in this instance.",,,"The Q4 target of 38 exceeded (39). Due to the target being exceeded, the reason for deviation is required.",,50
